C000001_bg_000	Професии във въоръжените сили
C000002_bg_000	Офицери във въоръжените сили
C000003_bg_000	Офицери във въоръжените сили
C000004_bg_000	Офицери във въоръжените сили
C000005_bg_000	Подофицери във въоръжените сили
C000006_bg_000	Подофицери във въоръжените сили
C000007_bg_000	Подофицери във въоръжените сили
C000008_bg_000	Професии във въоръжените сили, други рангове
C000009_bg_000	Професии във въоръжените сили, други рангове
C000010_bg_000	Професии във въоръжените сили, други рангове
C000011_bg_000	Ръководители
C000012_bg_000	Изпълнителни директори, висши служители и законодатели
C000013_bg_000	Законодатели и висши служители
C000014_bg_000	Законодатели
C000015_bg_000	Висши служители в органите на изпълнителната власт
C000016_bg_000	Традиционни старейшини и селски водачи/управници
C000017_bg_000	Висши служители на специализирани организации
C000018_bg_000	Управителни директори и изпълнителни директори
C000019_bg_000	Управителни директори и изпълнителни директори
C000020_bg_000	Административни ръководители и ръководители в търговски дружества
C000021_bg_000	Ръководители в бизнес услугите и административните дейности
C000022_bg_000	Ръководители на финансови дейности
C000023_bg_000	Ръководители по управление на човешките ресурси
C000024_bg_000	Ръководители на звена за политика и планиране
C000025_bg_000	Ръководители в бизнес услугите и административните дейности, некласифицирани другаде
C000026_bg_000	Ръководители на звена за продажби, маркетинг и развойна дейност
C000027_bg_000	Ръководители на звена за продажби и маркетинг
C000028_bg_000	Ръководители на звена за реклама и връзки с обществеността
C000029_bg_000	Ръководители на звена за научноизследователска и развойна дейност
C000030_bg_000	Ръководители в производството и специализираните услуги
C000031_bg_000	Ръководители в селското, горското и рибното стопанство
C000032_bg_000	Ръководители в селското и горското стопанство
C000033_bg_000	Ръководители в риболова и аквакултурите
C000034_bg_000	Ръководители в преработващата и миннодобивната промишленост, строителството и дистрибуцията
C000035_bg_000	Ръководители в преработващата промишленост
C000036_bg_000	Ръководители в миннодобивната промишленост
C000037_bg_000	Ръководители в строителството
C000038_bg_000	Ръководители на звена за доставки, дистрибуция и сродни на тях
C000039_bg_000	Ръководители в областта на осигуряването на информационни и комуникационни технологии
C000040_bg_000	Ръководители в областта на осигуряването на информационни и комуникационни технологии
C000041_bg_000	Ръководители в областта на професионалните услуги
C000042_bg_000	Ръководители в областта на услугите за грижи за деца
C000043_bg_000	Ръководители в здравеопазването
C000044_bg_000	Ръководители в областта на услугите за грижи за възрастни хора
C000045_bg_000	Ръководители на социални грижи
C000046_bg_000	Ръководители в образованието
C000047_bg_000	Ръководители на клонове на финансови и застрахователни институции
C000048_bg_000	Ръководители в областта на професионалните услуги, некласифицирани другаде
C000049_bg_000	Ръководители в хотелиерството, търговията на дребно и други услуги
C000050_bg_000	Управители на хотели и ресторанти
