Q000001	Loopbaanadviseur
Q000002	Islamitisch slager
Q000003	Operator garenverwerking
Q000004	Afrokapper
Q000005	Schaapherder
Q000006	Medewerker bloemen- of plantenkwekerij
Q000007	Selecteur bloembollen
Q000008	Plantenteeltkundige
Q000009	Tuinbouwkundige (wetenschappelijk)
Q000010	Docent verpleegkunde (1e graads)
Q000011	Verpleeghuisarts
Q000012	Irrigatiedeskundige
Q000013	Instructeur tram- en metrobesturen
Q000014	Docent machinistenopleiding spoorwegen
Q000015	Zanger klassiek
Q000016	Zanger lichte muziek
Q000017	Medewerker in- en outdooractiviteiten
Q000018	Instrumentalist (toetsen)
Q000019	Praktijkopleider / trainer informatica
Q000020	Instrumentalist (blaasinstrumenten)
Q000021	Instrumentalist (slagwerk / percussie)
Q000022	Docent Scandinavische talen (1e graads)
Q000023	Sportmanager
Q000024	Medewerker evenementenorganisatie
Q000025	Manager evenementenorganisatie
Q000026	Instructeur grondverzet- en graafmachines
Q000027	Instructeur heftrucks
Q000028	Zweefvlieger
Q000029	Ballonvaarder
Q000030	Maquettebouwer
Q000031	Wapenreparateur
Q000032	Praktijkopleider schildersbedrijf
Q000033	Optometrist
Q000034	Uitvoerder installatie (elektro)
Q000035	Uitvoerder bouw
Q000036	Wetenschappelijk onderzoeker landbouw
Q000037	Hoofdcontroleur belastingdienst
Q000038	Tuinbouwkundig ingenieur (niet tropisch)
Q000039	Monteur heftrucks
Q000040	Kok Zuid-Europees
Q000041	Kok Balkan, Turks, Grieks
Q000042	Kok Zuid-Amerikaans, Midden-Amerikaans
Q000043	Kok Arabisch
Q000044	Kok Aziatisch
Q000045	Monteur midden- en hoogspanningsinstallaties
Q000046	Chauffeur veetransport
Q000047	Chauffeur geconditioneerd vervoer
Q000048	Verpleegkundige oncologie
Q000049	Allround broodbakker
Q000050	Tolk Japans
Q000051	Chauffeur kipauto
Q000052	Draad- en zinkvonker
Q000053	Supervisor klantenservice
Q000054	Supervisor callcenter
Q000055	Accountmanager schade
Q000056	Goudsmid
Q000057	Zilversmid
Q000058	Keukenmonteur
Q000059	Bewindvoerder wet schuldsanering natuurlijke personen (wsnp)
Q000060	Opvangmedewerker diensten asielzoekerscentrum
Q000061	Tatoeëerder
Q000062	Brandwondenverpleegkundige
Q000063	Verpleegkundige spoedeisende hulp
Q000064	Tropenverpleegkundige
Q000065	Revalidatieverpleegkundige
Q000066	Medisch nucleair werker
Q000067	Patiëntenvoorlichter
Q000068	Scheepsbouwer
Q000069	Voorman scheepsbouw
Q000070	Matroos kotter
Q000071	Matroos trawlvisserij
Q000072	Schipper kotter
Q000073	Schipper trawlvisserij
