C000001_nl_000	Beroepen bij de strijdkrachten
C000002_nl_000	Officieren
C000003_nl_000	Officieren
C000004_nl_000	Officieren
C000005_nl_000	Onderofficieren
C000006_nl_000	Onderofficieren
C000007_nl_000	Onderofficieren
C000008_nl_000	Andere rangen
C000009_nl_000	Andere rangen
C000010_nl_000	Andere rangen
C000011_nl_000	Leidinggevende functies
C000012_nl_000	Directeuren van grote ondernemingen, beleidvoerende functies, leden van wetgevende lichamen
C000013_nl_000	Leden van wetgevende lichamen, beleidvoerende functies
C000014_nl_000	Leden van wetgevende lichamen
C000015_nl_000	Ambtenaren in beleidvoerende functies
C000016_nl_000	Traditionele dorpshoofden
C000017_nl_000	Beleidvoerende medewerkers van belangenorganisaties
C000018_nl_000	Directeuren van grote ondernemingen
C000019_nl_000	Directeuren van grote ondernemingen
C000020_nl_000	Leidinggevende functies op administratief en commercieel gebied
C000021_nl_000	Leidinggevende functies op het gebied van zakelijke diensten en op administratief gebied
C000022_nl_000	Leidinggevende functies op financieel gebied
C000023_nl_000	Leidinggevende functies op het gebied van personeelszaken
C000024_nl_000	Leidinggevende functies op het gebied van beleid en planning
C000025_nl_000	Leidinggevende functies op het gebied van zakelijke diensten en op administratief gebied, niet elders geclassificeerd
C000026_nl_000	Leidinggevende functies op het gebied van verkoop, marketing en ontwikkeling
C000027_nl_000	Leidinggevende functies op het gebied van verkoop en marketing
C000028_nl_000	Leidinggevende functies op het gebied van reclame en public relations
C000029_nl_000	Leidinggevende functies op het gebied van speur- en ontwikkelingswerk
C000030_nl_000	Leidinggevende functies op het gebied van productie en gespecialiseerde diensten
C000031_nl_000	Leidinggevende functies op het gebied van de landbouw-, bosbouw- en visserijproductie
C000032_nl_000	Leidinggevende functies op het gebied van de landbouw- en bosbouwproductie
C000033_nl_000	Leidinggevende functies op het gebied van de aquacultuur- en visserijproductie
C000034_nl_000	Leidinggevende functies in de industrie, de mijnbouw, de bouwnijverheid en de handel
C000035_nl_000	Leidinggevende functies in de industrie
C000036_nl_000	Leidinggevende functies in de mijnbouw
C000037_nl_000	Leidinggevende functies in de bouwnijverheid
C000038_nl_000	Leidinggevende functies op het gebied van toelevering, distributie en op aanverwante gebieden
C000039_nl_000	Leidinggevende functies op het gebied van informatie- en communicatietechnologie
C000040_nl_000	Leidinggevende functies op het gebied van informatie- en communicatietechnologie
C000041_nl_000	Leidinggevende functies op het gebied van professionele diensten
C000042_nl_000	Leidinggevende functies op het gebied van kinderverzorging
C000043_nl_000	Leidinggevende functies op het gebied van gezondheidsdiensten
C000044_nl_000	Leidinggevende functies op het gebied van ouderenzorg
C000045_nl_000	Leidinggevende functies op het gebied van maatschappelijk werk
C000046_nl_000	Leidinggevende functies op het gebied van onderwijs
C000047_nl_000	Filiaalhouders op het gebied van financiële en verzekeringsdiensten
C000048_nl_000	Leidinggevende functies op het gebied van professionele diensten, niet elders geclassificeerd
C000049_nl_000	Leidinggevende functies in het hotel- en restaurantwezen, in de detail- en groothandel en op het gebied van andere diensten
C000050_nl_000	Hotel- en restaurantmanagers
C000051_nl_000	Hotelmanagers
C000052_nl_000	Restaurantmanagers
C000053_nl_000	Leidinggevende functies in de detail- en groothandel
C000054_nl_000	Leidinggevende functies in de detail- en groothandel
C000055_nl_000	Leidinggevende functies op het gebied van andere diensten
C000056_nl_000	Leidinggevende functies op het gebied van sport en recreatie en bij culturele centra
C000057_nl_000	Leidinggevende functies op het gebied van diensten, niet elders geclassificeerd
C000058_nl_000	Intellectuele, wetenschappelijke en artistieke beroepen
C000059_nl_000	Wetenschappers en ingenieurs
C000060_nl_000	Natuur- en aardwetenschappers
C000061_nl_000	Natuurkundigen en astronomen
C000062_nl_000	Meteorologen
C000063_nl_000	Chemici
C000064_nl_000	Geologen en geofysici
C000065_nl_000	Wiskundigen, actuarissen en statistici
C000066_nl_000	Wiskundigen, actuarissen en statistici
C000067_nl_000	Biowetenschappers
C000068_nl_000	Biologen, botanici, zoölogen e.d.
C000069_nl_000	Adviseurs op het gebied van landbouw, bosbouw en visserij
C000070_nl_000	Milieudeskundigen
C000071_nl_000	Ingenieurs (m.u.v. elektrotechnisch ingenieurs)
