C000001_cs_000	Zaměstnanci v ozbrojených silách
C000002_cs_000	Generálové a důstojníci v ozbrojených silách
C000003_cs_000	Generálové a důstojníci v ozbrojených silách
C000004_cs_000	Generálové a důstojníci v ozbrojených silách
C000005_cs_000	Poddůstojníci v ozbrojených silách
C000006_cs_000	Poddůstojníci v ozbrojených silách
C000007_cs_000	Poddůstojníci v ozbrojených silách
C000008_cs_000	Zaměstnanci v ozbrojených silách, další hodnosti
C000009_cs_000	Zaměstnanci v ozbrojených silách, další hodnosti
C000010_cs_000	Zaměstnanci v ozbrojených silách, další hodnosti
C000011_cs_000	Zákonodárci, vedoucí a řídící pracovníci
C000012_cs_000	Zákonodárci, vysocí státní úředníci a nejvyšší představitelé společností
C000013_cs_000	Zákonodárci a vysocí státní úředníci
C000014_cs_000	Představitelé zákonodárné a výkonné moci
C000015_cs_000	Vysocí státní úředníci
C000016_cs_000	Představitelé samosprávy
C000017_cs_000	Vedoucí pracovníci politických, zájmových a příbuzných organizací
C000018_cs_000	Nejvyšší představitelé společností a generální ředitelé
C000019_cs_000	Nejvyšší představitelé společností a generální ředitelé
C000020_cs_000	Vedoucí a řídící pracovníci ve veřejné správě a v komerční sféře
C000021_cs_000	Vedoucí a řídící pracovníci univerzálních dílčích celků
C000022_cs_000	Vedoucí a řídící pracovníci v oblasti financí
C000023_cs_000	Vedoucí a řídící pracovníci v oblasti lidských zdrojů
C000024_cs_000	Vedoucí pracovníci v oblasti politiky firmy a strategického plánování
C000025_cs_000	Vedoucí a řídící pracovníci univerzálních dílčích celků jinde neuvedení
C000026_cs_000	Vedoucí a řídící pracovníci v oblasti prodeje, marketingu, výzkumu, vývoje, reklamy a styku s veřejností
C000027_cs_000	Vedoucí a řídící pracovníci v oblasti prodeje a marketingu
C000028_cs_000	Vedoucí a řídící pracovníci v oblasti reklamy a styku s veřejností
C000029_cs_000	Vedoucí a řídící pracovníci v oblasti výzkumu a vývoje
C000030_cs_000	Vedoucí a řídící pracovníci v oblasti výroby, informačních technologií, vzdělávání a v příbuzných oborech
C000031_cs_000	Vedoucí a řídící pracovníci v zemědělství, lesnictví a rybářství
C000032_cs_000	Vedoucí a řídící pracovníci v zemědělství a lesnictví
C000033_cs_000	Vedoucí a řídící pracovníci v rybářství a akvakultuře
C000034_cs_000	Vedoucí a řídící pracovníci v průmyslové výrobě, těžbě, stavebnictví, dopravě a příbuzných oborech
C000035_cs_000	Vedoucí a řídící pracovníci v průmyslové výrobě
C000036_cs_000	Vedoucí a řídící pracovníci v těžbě
C000037_cs_000	Vedoucí a řídící pracovníci ve stavebnictví
C000038_cs_000	Vedoucí a řídící pracovníci v dopravě, logistice a příbuzných oborech
C000039_cs_000	Vedoucí a řídící pracovníci v oblasti informačních a komunikačních technologií
C000040_cs_000	Vedoucí a řídící pracovníci v oblasti informačních a komunikačních technologií
C000041_cs_000	Vedoucí a řídící pracovníci v oblasti vzdělávání, zdravotnictví, v sociálních a příbuzných oblastech
C000042_cs_000	Vedoucí a řídící pracovníci v oblasti péče o děti
C000043_cs_000	Vedoucí a řídící pracovníci v oblasti zdravotnictví
C000044_cs_000	Vedoucí a řídící pracovníci v oblasti péče o seniory
C000045_cs_000	Vedoucí a řídící pracovníci v sociální oblasti (kromě péče o děti a seniory)
C000046_cs_000	Vedoucí a řídící pracovníci v oblasti vzdělávání
C000047_cs_000	Vedoucí a řídící pracovníci v oblasti finančních a pojišťovacích služeb
C000048_cs_000	Vedoucí a řídící pracovníci knihoven, muzeí, bezpečnosti a v příbuzných oblastech jinde neuvedení
C000049_cs_000	Vedoucí a řídící pracovníci v oblasti ubytovacích a stravovacích služeb, prodeje a ostatní vedoucí a řídící pracovníci
C000050_cs_000	Vedoucí a řídící pracovníci v oblasti ubytovacích a stravovacích služeb
C000051_cs_000	Vedoucí a řídící pracovníci v oblasti ubytovacích služeb
C000052_cs_000	Vedoucí a řídící pracovníci v oblasti stravovacích služeb
C000053_cs_000	Vedoucí a řídící pracovníci v maloobchodě a velkoobchodě
C000054_cs_000	Vedoucí a řídící pracovníci v maloobchodě a velkoobchodě
C000055_cs_000	Ostatní vedoucí a řídící pracovníci
C000056_cs_000	Vedoucí a řídící pracovníci ve sportovních, zábavních a příbuzných zařízeních
C000057_cs_000	Vedoucí a řídící pracovníci jinde neuvedení
C000058_cs_000	Specialisté
C000059_cs_000	Specialisté v oblasti vědy a techniky
C000060_cs_000	Specialisté v oblasti fyziky, chemie a v příbuzných oborech
C000061_cs_000	Fyzikové a astronomové
C000062_cs_000	Meteorologové
C000063_cs_000	Chemici (kromě chemického inženýrství)
C000064_cs_000	Geologové a geofyzici
C000065_cs_000	Specialisté v oblasti matematiky, statistiky a pojistné matematiky
C000066_cs_000	Specialisté v oblasti matematiky, statistiky a pojistné matematiky
C000067_cs_000	Specialisté v biologických a příbuzných oborech
C000068_cs_000	Biologové, botanici, zoologové a specialisté v příbuzných oborech
C000069_cs_000	Specialisté v oblasti zemědělství, lesnictví a rybářství
C000070_cs_000	Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie)
C000071_cs_000	Specialisté ve výrobě, stavebnictví a příbuzných oborech (kromě elektrotechniky)
C000072_cs_000	Inženýři v průmyslu a ve výrobě
C000073_cs_000	Stavební inženýři
C000074_cs_000	Specialisté v oblasti průmyslové ekologie
C000075_cs_000	Strojní inženýři
C000076_cs_000	Chemičtí inženýři a specialisté v příbuzných oborech
C000077_cs_000	Důlní a hutní inženýři a specialisté v příbuzných oborech
C000078_cs_000	Specialisté v oblasti techniky (kromě elektrotechniky) jinde neuvedení
C000079_cs_000	Specialisté v oblasti elektrotechniky, elektroniky a elektronických komunikací
C000080_cs_000	Inženýři elektrotechnici a energetici
C000081_cs_000	Inženýři elektronici
C000082_cs_000	Inženýři v oblasti elektronických komunikací
C000083_cs_000	Architekti, specialisté v oblasti územního plánování, návrháři a příbuzní pracovníci
C000084_cs_000	Stavební architekti
C000085_cs_000	Zahradní a krajinní architekti
C000086_cs_000	Návrháři výrobků a produktů
C000087_cs_000	Specialisté v oblasti územního a dopravního plánování
C000088_cs_000	Kartografové a zeměměřiči
C000089_cs_000	Grafici a výtvarníci v multimédiích
C000090_cs_000	Specialisté v oblasti zdravotnictví
C000091_cs_000	Lékaři (kromě stomatologů, dietologů a audiologů)
C000092_cs_000	Všeobecní a praktičtí lékaři
C000093_cs_000	Lékaři s odbornou specializací (kromě praktických lékařů, stomatologů, dietologů a audiologů)
C000094_cs_000	Specialisté v oblasti ošetřovatelství a porodnictví
C000095_cs_000	Specialisté v oblasti ošetřovatelství
C000096_cs_000	Specialisté v oblasti porodnictví
