Q000001	adjunct al procurorului general
Q000002	ambasador
Q000003	chestor Parlament
Q000004	comandant unic aviatie
Q000005	comisar general
Q000006	comisar general adjunct
Q000007	senator
Q000008	guvernator
Q000009	presedinte Academie
Q000010	presedinte inalta Curte de Casatie si Justitie
Q000011	presedinte curte de apel
Q000012	presedinte Curtea de Conturi a Romaniei
Q000013	presedinte de judecatorie
Q000014	presedinte Camera Deputatilor
Q000015	presedinte sectie (la inalta Curte de Casatie si Justitie, la curtea deapel, tribunale si judecatorii)
Q000016	presedinte tribunal
Q000017	Presedintele Romaniei
Q000018	prim-procuror
Q000019	prim-procuror adjunct
Q000020	prim-adjunct al procurorului general
Q000021	prim-ministru
Q000022	procuror general
Q000023	procuror sef de sectie
Q000024	procuror sef de sectie adjunct
Q000025	secretar general al Guvernului
Q000026	secretar Parlament
Q000027	secretar de stat
Q000028	vicepresedinte (la inalta Curte de Casatie si Justitie, Curtea de Apel,tribunale si judecatorii)
Q000029	inspector-sef  al  Inspectiei  Judiciare  de  pe  langa  Plenul  ConsiliuluiSuperior al Magistraturii
Q000030	membru al Consiliului Superior al Magistraturii
Q000031	secretar general adjunct al Consiliului Superior al Magistraturii
Q000032	inspector in cadrul Inspectiei Judiciare pentru judecatori/ procuroride pe langa Plenul Consiliului Superior al Magistraturii
Q000033	inspector general judecatoresc sef
Q000034	ministru
Q000035	ministru consilier
Q000036	ministru de stat
Q000037	ministru plenipotentiar
Q000038	presedinte Senat
Q000039	subsecretar de stat
Q000040	consilier diplomatic
Q000041	consilier guvernamental
Q000042	consilier si consultant juridic
Q000043	consilier institutii publice
Q000044	consilier al ministrului
Q000045	consul general
Q000046	director institutie publica
Q000047	director adjunct institutie publica
Q000048	director de cabinet
Q000049	director general institutie publica
Q000050	consilier economic
Q000051	inspector de stat sef
Q000052	inspector-sef in administratia publica
Q000053	magistrat-asistent-sef
Q000054	notar-sef
Q000055	notar-sef adjunct
Q000056	secretar-sef notariat
Q000057	prefect
Q000058	secretar general
Q000059	sef birou institutie publica
Q000060	sef cabinet
Q000061	sef birou senatorial
Q000062	sef departament
Q000063	sef protocol de stat
Q000064	sef serviciu institutie publica
Q000065	subprefect
Q000066	viceguvernator
Q000067	presedinte institutie publica
Q000068	consilier prezidential
Q000069	consilier parlamentar
Q000070	vicepresedinte institutie publica
Q000071	atasat diplomatic
Q000072	consul
Q000073	secretar diplomatic
Q000074	viceconsul
Q000075	consultant prezidential si guvernamental
Q000076	secretar general Academie
Q000077	director general adjunct
Q000078	investigator sef
Q000079	inspector sef teritorial
Q000080	consilier de stat
Q000081	primar
Q000082	secretar primarie, prefectura
Q000083	viceprimar
Q000084	consilier organizatie politica
Q000085	presedinte organizatie politica
Q000086	vicepresedinte organizatie politica
Q000087	secretar organizatie politica
Q000088	conducator de asociatii, filiale si organizatii obstesti
Q000089	loctiitor al conducatorului de asociatii, filiale si organizatii obstesti
Q000090	secretar si secretar adjunct ai asociatiilor, filialelor si organizatiilorobstesti
