C000001_pl_000	Siły zbrojne
C000002_pl_000	Oficerowie
C000003_pl_000	Oficerowie
C000004_pl_000	Oficerowie
C000005_pl_000	Podoficerowie
C000006_pl_000	Podoficerowie
C000007_pl_000	Podoficerowie
C000008_pl_000	Żołnierze innych stopni
C000009_pl_000	Żołnierze innych stopni
C000010_pl_000	Żołnierze innych stopni
C000011_pl_000	Kierownicy
C000012_pl_000	Dyrektorzy generalni, wyżsi urzędnicy i parlamentarzyści
C000013_pl_000	Parlamentarzyści i wyżsi urzędnicy
C000014_pl_000	Parlamentarzyści
C000015_pl_000	Wyżsi urzędnicy administracji publicznej
C000016_pl_000	Tradycyjni wodzowie i sołtysi
C000017_pl_000	Zawodowi działacze organizacji członkowskich
C000018_pl_000	Dyrektorzy generalni i wykonawczy
C000019_pl_000	Dyrektorzy generalni i wykonawczy
C000020_pl_000	Kierownicy do spraw zarządzania i handlu
C000021_pl_000	Kierownicy do spraw obsługi biznesu i zarządzania
C000022_pl_000	Kierownicy do spraw finansowych
C000023_pl_000	Kierownicy do spraw zarządzania zasobami ludzkimi
C000024_pl_000	Kierownicy do spraw strategicznych i planowania
C000025_pl_000	Kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani
C000026_pl_000	Kierownicy do spraw sprzedaży, marketingu i rozwoju
C000027_pl_000	Kierownicy do spraw sprzedaży i marketingu
C000028_pl_000	Kierownicy do spraw reklamy i public relations
C000029_pl_000	Kierownicy do spraw badań i rozwoju
C000030_pl_000	Kierownicy do spraw produkcji i wyspecjalizowanych usług
C000031_pl_000	Kierownicy produkcji w rolnictwie, leśnictwie i rybołówstwie
C000032_pl_000	Kierownicy produkcji w rolnictwie i leśnictwie
C000033_pl_000	Kierownicy produkcji w akwakulturze i rybołówstwie
C000034_pl_000	Kierownicy w przemyśle przetwórczym, górnictwie, budownictwie i dystrybucji
C000035_pl_000	Kierownicy w przemyśle przetwórczym
C000036_pl_000	Kierownicy w górnictwie
C000037_pl_000	Kierownicy w budownictwie
C000038_pl_000	Kierownicy do spraw logistyki i pokrewni
C000039_pl_000	Kierownicy do spraw usług technologii informacyjno-komunikacyjnych
C000040_pl_000	Kierownicy do spraw usług technologii informacyjno-komunikacyjnych
C000041_pl_000	Kierownicy do spraw usług medycznych, edukacyjnych i finansowych
C000042_pl_000	Kierownicy do spraw usług opieki nad dziećmi
C000043_pl_000	Kierownicy do spraw usług zdrowotnych
C000044_pl_000	Kierownicy do spraw usług w zakresie opieki nad osobami starszymi
C000045_pl_000	Kierownicy do spraw opieki socjalnej
C000046_pl_000	Kierownicy do spraw edukacji
C000047_pl_000	Kierownicy oddziałów do spraw usług finansowych i ubezpieczeniowych
C000048_pl_000	Kierownicy do spraw usług profesjonalnych gdzie indziej niesklasyfikowani
C000049_pl_000	Kierownicy do spraw usług hotelowych, handlu detalicznego i innych usług
C000050_pl_000	Kierownicy hoteli i restauracji
C000051_pl_000	Kierownicy hoteli
C000052_pl_000	Kierownicy restauracji
C000053_pl_000	Kierownicy do spraw handlu detalicznego i hurtowego
C000054_pl_000	Kierownicy do spraw handlu detalicznego i hurtowego
C000055_pl_000	Kierownicy do spraw pozostałych typów usług
C000056_pl_000	Kierownicy ośrodków sportowych, rekreacyjnych i kulturalnych
C000057_pl_000	Kierownicy do spraw usług gdzie indziej niesklasyfikowani
C000058_pl_000	Specjaliści
C000059_pl_000	Specjaliści nauk fizycznych, matematycznych i technicznych
C000060_pl_000	Fizycy, chemicy i pokrewni
C000061_pl_000	Fizycy i astronomowie
C000062_pl_000	Meteorolodzy
C000063_pl_000	Chemicy
C000064_pl_000	Geolodzy i geofizycy
C000065_pl_000	Matematycy, aktuariusze i statystycy
C000066_pl_000	Matematycy, aktuariusze i statystycy
C000067_pl_000	Specjaliści nauk przyrodniczych
C000068_pl_000	Biolodzy, botanicy, zoolodzy i specjaliści nauk pokrewnych
C000069_pl_000	Doradcy w dziedzinie rolnictwa, leśnictwa i rybołówstwa
C000070_pl_000	Specjaliści do spraw ochrony środowiska
C000071_pl_000	Inżynierowie (z wyłączeniem elektrotechnologii)
C000072_pl_000	Inżynierowie do spraw przemysłu i produkcji
C000073_pl_000	Inżynierowie budownictwa
C000074_pl_000	Inżynierowie inżynierii środowiska
C000075_pl_000	Inżynierowie mechanicy
C000076_pl_000	Inżynierowie chemicy
C000077_pl_000	Inżynierowie górnicy, metalurdzy i inżynierowie w dziedzinach pokrewnych
C000078_pl_000	Inżynierowie gdzie indziej niesklasyfikowani
C000079_pl_000	Inżynierowie elektrotechnologii
C000080_pl_000	Inżynierowie elektrycy
C000081_pl_000	Inżynierowie elektronicy
C000082_pl_000	Inżynierowie telekomunikacji
C000083_pl_000	Architekci, planiści, geodeci i projektanci
C000084_pl_000	Architekci budowlani
C000085_pl_000	Architekci krajobrazu
C000086_pl_000	Projektanci wzornictwa przemysłowego i projektanci mody
C000087_pl_000	Urbaniści i inżynierowie ruchu drogowego
C000088_pl_000	Kartografowie i geodeci
C000089_pl_000	Projektanci grafiki i multimediów
C000090_pl_000	Specjaliści ochrony zdrowia
C000091_pl_000	Lekarze
C000092_pl_000	Lekarze bez specjalizacji lub w trakcie specjalizacji
C000093_pl_000	Lekarze specjaliści
C000094_pl_000	Pielęgniarki i położne
C000095_pl_000	Pielęgniarki specjalistki
C000096_pl_000	Położne specjalistki
C000097_pl_000	Specjaliści medycyny tradycyjnej i komplementarnej
C000098_pl_000	Specjaliści medycyny tradycyjnej i komplementarnej
C000099_pl_000	Ratownicy medyczni
C000100_pl_000	Ratownicy medyczni
C000101_pl_000	Lekarze weterynarii
C000102_pl_000	Lekarze weterynarii
C000103_pl_000	Inni specjaliści ochrony zdrowia
C000104_pl_000	Lekarze dentyści specjaliści
C000105_pl_000	Farmaceuci
C000106_pl_000	Specjaliści do spraw higieny, bezpieczeństwa pracy i środowiska
C000107_pl_000	Fizjoterapeuci
C000108_pl_000	Dietetycy i żywieniowcy
C000109_pl_000	Audiofonolodzy i logopedzi
C000110_pl_000	Optometryści
C000111_pl_000	Specjaliści ochrony zdrowia gdzie indziej niesklasyfikowani
C000112_pl_000	Specjaliści szkolnictwa
C000113_pl_000	Nauczyciele akademiccy
C000114_pl_000	Nauczyciele akademiccy
C000115_pl_000	Nauczyciele kształcenia zawodowego
C000116_pl_000	Nauczyciele kształcenia zawodowego
C000117_pl_000	Nauczyciele szkół średnich
C000118_pl_000	Nauczyciele szkół średnich
C000119_pl_000	Nauczyciele szkół podstawowych i przedszkoli
C000120_pl_000	Nauczyciele szkół podstawowych
C000121_pl_000	Nauczyciele przedszkoli
C000122_pl_000	Inni specjaliści szkolnictwa
C000123_pl_000	Specjaliści metod nauczania
C000124_pl_000	Nauczyciele pracujący z osobami o specjalnych potrzebach edukacyjnych
C000125_pl_000	Lektorzy języków obcych
C000126_pl_000	Nauczyciele muzyki w placówkach pozaszkolnych
C000127_pl_000	Nauczyciele sztuki w placówkach pozaszkolnych
C000128_pl_000	Instruktorzy technologii informatycznych
C000129_pl_000	Specjaliści szkolnictwa gdzie indziej niesklasyfikowani
C000130_pl_000	Specjaliści do spraw ekonomicznych i zarządzania
C000131_pl_000	Specjaliści do spraw finansów
C000132_pl_000	Księgowi
C000133_pl_000	Doradcy finansowi i inwestycyjni
C000134_pl_000	Analitycy finansowi
C000135_pl_000	Specjaliści do spraw administracyjnych
C000136_pl_000	Specjaliści do spraw zarządzania i organizacji
C000137_pl_000	Specjaliści do spraw administracji i rozwoju
C000138_pl_000	Specjaliści do spraw zarządzania zasobami ludzkimi
C000139_pl_000	Specjaliści do spraw szkoleń i rozwoju kadr
C000140_pl_000	Specjaliści do spraw sprzedaży, marketingu i public relations
C000141_pl_000	Specjaliści do spraw reklamy i marketingu
C000142_pl_000	Specjaliści do spraw public relations
C000143_pl_000	Specjaliści do spraw sprzedaży produktów technicznych i medycznych (z wyłączeniem technologii informacyjno-komunikacyjnych)
C000144_pl_000	Specjaliści do spraw sprzedaży z dziedziny technologii informacyjno-komunikacyjnych
