Q000001	Officer
Q000002	Departementschef
Q000003	Diplomat
Q000004	Politidirektør
Q000005	Leder af offentlig forvaltning
Q000006	Sygehusdirektør
Q000007	Generalsekretær
Q000008	Regionsdirektør
Q000009	Lufthavnschef
Q000010	Driftsleder
Q000011	Økonomichef
Q000012	Regnskabschef
Q000013	Finanschef
Q000014	Personalechef
Q000015	Ligestillings- og inklusionschef
Q000016	Chefstrateg
Q000017	Chefkonsulent
Q000018	Turismechef
Q000019	Programchef
Q000020	Administrationschef
Q000021	Sikkerhedschef
Q000022	CSR-ansvarlig
Q000023	Afdelingsleder, offentlig
Q000024	Områdechef
Q000025	Facility manager
Q000026	Projektleder
Q000027	Kontorleder
Q000028	Destinationschef
Q000029	Salgschef
Q000030	Produktchef
Q000031	Kontraktchef
Q000032	E-commerce manager
Q000033	Marketingchef
Q000034	Salgsdirektør
Q000035	Kommunikationschef
Q000036	Reklamechef
Q000037	IT-produktchef
Q000038	Skovrider
Q000039	Produktionschef
Q000040	Driftschef
Q000041	Logistikchef
Q000042	Transportchef
Q000043	Import- og eksportchef
Q000044	Supply chain manager
Q000045	Indkøbschef
Q000046	Ressourceleder
Q000047	Lagerchef
Q000048	Chief data officer
Q000049	Information- og videnchef IT
Q000050	IT-chef
Q000051	IT-direktør
Q000052	IT-dokumentationschef
Q000053	IT-projektleder
Q000054	Dagtilbudsleder
Q000055	Vuggestueleder
Q000056	Daglig leder, institution for børn og unge
Q000057	Souschef, institution for børn og unge
Q000058	Institutionsleder, ældre
Q000059	Institutionsleder, børn og unge
Q000060	Souschef, institution for ældre
Q000061	Daglig leder, institution
Q000062	Plejehjemsleder
Q000063	Daglig leder, institution for ældre
Q000064	Leder af børne- og ungdomsklub
Q000065	Børne- og ungekoordinator
Q000066	Institutleder på universitet
Q000067	Viceskoleleder
Q000068	Efterskoleforstander
Q000069	Rektor
Q000070	Institut- / centerleder
Q000071	Uddannelsesleder
Q000072	Bankdirektør
Q000073	Flysikkerhedschef
Q000074	Miljø- og sikkerhedschef
Q000075	Bibliotekschef
Q000076	Laboratorieleder
Q000077	Museumsleder
Q000078	Kommunikationskoordinator
Q000079	Kundeservicechef
Q000080	Juridisk chef
Q000081	Idrætsleder, kommunal
Q000082	Rigsarkivar
Q000083	Kunstnerisk leder
Q000084	Brandchef
Q000085	Hotelchef
Q000086	Receptionschef, hotel
Q000087	Restaurantchef
Q000088	Souschef, køkken
Q000089	Salgs- og kundeansvarlig
Q000090	Bagermester
Q000091	Cykelhandler
Q000092	Regionschef
Q000093	Centerleder
Q000094	Produktionsleder inden for film og teater
Q000095	Campingpladsbestyrer
Q000096	Værkstedsleder
Q000097	Receptionschef, kontor
Q000098	Turistchef
Q000099	Astronom
Q000100	Fysiker
Q000101	Meteorolog
Q000102	Klimaforsker
Q000103	Vejrvært
Q000104	Metrolog
Q000105	Kemiker
Q000106	Geolog
Q000107	Geofysiker
Q000108	Aktuar
Q000109	Demograf
Q000110	Matematiker
Q000111	Statistiker
Q000112	Fysiolog
Q000113	Specialist i biomedicin
Q000114	Botaniker
Q000115	Molekylærbiolog
Q000116	Specialarbejder, medicinal
Q000117	Farmakolog
Q000118	Agronom
Q000119	Skovbrugsrådgiver
Q000120	Skov- og naturteknikerelev
Q000121	Landbrugskonsulent
Q000122	Økologikonsulent
Q000123	Miljøanalytiker
Q000124	Naturvejleder
Q000125	Miljøkoordinator
Q000126	Miljøkonsulent
Q000127	Automationsingeniør
Q000128	Levnedsmiddelingeniør
Q000129	Logistiker
Q000130	Procesingeniør
Q000131	Byggetekniker
Q000132	Civilingeniør
Q000133	Miljøingeniør
Q000134	Maskinkonstruktør
Q000135	VVS-tekniker
Q000136	Fødevareteknolog
Q000137	Testingeniør
Q000138	Energiingeniør
Q000139	Elektronikingeniør
Q000140	Hardware-udvikler
Q000141	Sensortekniker
Q000142	Medicoingeniør
Q000143	Telekommunikationsingeniør
Q000144	Arkitekt
Q000145	Landskabsarkitekt
Q000146	Havearkitekt
Q000147	Industriel designer
Q000148	Kostumedesigner
Q000149	Designer
Q000150	Beklædningsdesigner
Q000151	Modelkonstruktør
Q000152	Tekstildesigner
Q000153	Trafikplanlægger
Q000154	Byplanlægger
Q000155	GIS-medarbejder
Q000156	Landinspektør
Q000157	Mediegrafiker
Q000158	Grafikerelev
Q000159	Illustrator
Q000160	Artdirector
Q000161	Caster
Q000162	Filmfotograf
Q000163	Sceneinstruktør
Q000164	Filminstruktør
Q000165	Artdirector assistent
Q000166	Multimediedesigner
Q000167	Praktiserende læge
Q000168	Sygehuslæge
Q000169	Læge
Q000170	Speciallæge
Q000171	Oversygeplejerske
Q000172	Teamleder, sundhed
Q000173	Sygeplejerske
Q000174	Specialsygeplejerske
Q000175	Anæstesisygeplejerske
Q000176	Sundhedsplejerske
Q000177	Jordemoder
Q000178	Akupunktør
Q000179	Zoneterapeut
Q000180	Tandlæge
Q000181	Specialtandlæge
Q000182	Vagtcentralassistent
Q000183	Vagtcentralmedarbejder
Q000184	Fødevareinspektør
Q000185	Arbejdsmiljøkonsulent
Q000186	Vagtcentralleder
Q000187	Bevægelsespædagog
Q000188	Ernæringsassistentelev
Q000189	Audiolog
Q000190	Audiologiassistentelev
Q000191	Logopæd
Q000192	Øjenlæge
Q000193	Musikterapeut
Q000194	Kunstlærer
Q000195	Assistant professor, sundhedsvidenskab
Q000196	Adjunkt, sundhedsvidenskab
Q000197	Videnskabelig assistent, sundhedsvidenskab
Q000198	Lektor, humaniora
Q000199	Videnskabelig assistent, humaniora
Q000200	Lektor, naturvidenskab og teknik
Q000201	Videnskabelig assistent, naturvidenskab og teknik
Q000202	Lærer på skuespillerskole
Q000203	Videnskabelig assistent, samfundsvidenskab
Q000204	Adjunkt, teologi
Q000205	Assistant professor, teologi
Q000206	Videnskabelig assistent, teologi
Q000207	Associate professor, kunstakademi
Q000208	Videnskabelig assistent, kunstakademi
Q000209	Adjunkt, professionshøjskole
Q000210	Assistant professor, professionshøjskole
Q000211	Associate professor, professionshøjskole
Q000212	Ekstern lektor, professionshøjskole
Q000213	Lektor, professionshøjskole og erhvervsakademi
Q000214	Videnskabelig assistent, professionshøjskole
Q000215	Adjunkt
Q000216	Adjunkt, kunstakademi
Q000217	Erhvervsskolelærer
Q000218	Ungdomsskolelærer
Q000219	Handelsskolelærer
Q000220	Aftenskolelærer
Q000221	Faglærer
Q000222	FVU-lærer
Q000223	Ordblindelærer
Q000224	Produktionsskolelærer
Q000225	Musikpædadog
Q000226	Højskolelærer
Q000227	Folkeskolelærer
Q000228	Friskolelærer
Q000229	Efterskolelærer
Q000230	Undervisningsassistent, folkeskole
Q000231	Lærervikar
Q000232	Pædagog
Q000233	Pædagogmedhjælper
Q000234	Pædagogisk assistent
Q000235	Klubpædagog
Q000236	Studiesekretær
Q000237	Skolekonsulent
Q000238	Tale-hørelærer
Q000239	Sproglærer
Q000240	Tegnsprogslærer
Q000241	Musiklærer
