C000001_hu_000	Fegyveres erők
C000002_hu_000	Fegyveres erők tisztjei
C000003_hu_000	Fegyveres erők tisztjei
C000004_hu_000	Fegyveres erők tisztjei
C000005_hu_000	Fegyveres erők tiszthelyettesei
C000006_hu_000	Fegyveres erők tiszthelyettesei
C000007_hu_000	Fegyveres erők tiszthelyettesei
C000008_hu_000	Fegyveres erők egyéb rangú állománya
C000009_hu_000	Fegyveres erők egyéb rangú állománya
C000010_hu_000	Fegyveres erők egyéb rangú állománya
C000011_hu_000	Vezetők
C000012_hu_000	Vezérigazgatók, igazgatási vezetők és törvényhozók
C000013_hu_000	Törvényhozók és igazgatási vezetők
C000014_hu_000	Törvényhozók
C000015_hu_000	Országos közigazgatási vezetők
C000016_hu_000	Tradicionális helyi vezetők
C000017_hu_000	Érdekképviseleti szervezetek vezetői
C000018_hu_000	Ügyvezetők és vezérigazgatók
C000019_hu_000	Ügyvezetők és vezérigazgatók
C000020_hu_000	Igazgatási és gazdasági vezetők
C000021_hu_000	Üzleti és igazgatási vezetők
C000022_hu_000	Pénzügyi vezetők
C000023_hu_000	Emberierőforrás-gazdálkodási vezetők
C000024_hu_000	Stratégiai vezetők
C000025_hu_000	Máshová nem sorolható üzleti és igazgatási vezetők
C000026_hu_000	Értékesítési-, marketing- és fejlesztési vezetők
C000027_hu_000	Értékesítési és marketingvezetők
C000028_hu_000	Reklám- és PR-vezetők
C000029_hu_000	Kutatási és fejlesztési vezetők
C000030_hu_000	Termelési vezetők, szakszolgáltatások vezetői
C000031_hu_000	Mezőgazdasági, erdőgazdálkodási és halászati termelési vezetők
C000032_hu_000	Mezőgazdasági és erdőgazdálkodási termelési vezetők
C000033_hu_000	Halgazdálkodási és halászati termelési vezetők
C000034_hu_000	Feldolgozóipari, bányászati, építési és értékesítési vezetők
C000035_hu_000	Feldolgozóipari vezetők
C000036_hu_000	Bányászati vezetők
C000037_hu_000	Építési vezetők
C000038_hu_000	Beszerzési, értékesítési és hasonló vezetők
C000039_hu_000	Információs és kommunikációs technológiai szolgáltatások vezetői
C000040_hu_000	Információs és kommunikációs technológiai szolgáltatások vezetői
C000041_hu_000	Szakmai szolgáltatások vezetői
C000042_hu_000	Gyermekgondozási szolgáltatások vezetői
C000043_hu_000	Egészségügyi szolgáltatások vezetői
C000044_hu_000	Idősgondozási szolgáltatások vezetői
C000045_hu_000	Szociális szolgáltatások vezetői
C000046_hu_000	Oktatási vezetők
C000047_hu_000	Pénzügyi és biztosítási szolgáltatások vezetői
C000048_hu_000	Máshová nem sorolható szakmai szolgáltatások vezetői
C000049_hu_000	Vendéglátó-ipari, kis- és nagykereskedelmi szolgáltatások vezetői
C000050_hu_000	Szállodaigazgatók és étteremvezetők
C000051_hu_000	Szállodaigazgatók
C000052_hu_000	Étteremvezetők
C000053_hu_000	Kis- és nagykereskedelmi vezetők
C000054_hu_000	Kis- és nagykereskedelmi vezetők
C000055_hu_000	Egyéb szolgáltatások vezetői
C000056_hu_000	Sport-, rekreációs és kulturális központok vezetői
C000057_hu_000	Máshová nem sorolható szolgáltatások vezetői
C000058_hu_000	Felsőfokú képzettséget igénylő foglalkozások
C000059_hu_000	Természettudományi és műszaki foglalkozások
C000060_hu_000	Fizikai és földtudományi foglalkozások
C000061_hu_000	Fizikusok és csillagászok
C000062_hu_000	Meteorológusok
C000063_hu_000	Kémikusok
C000064_hu_000	Geológusok és geofizikusok
C000065_hu_000	Matematikusok, biztosításmatematikusok (aktuáriusok) és statisztikusok
C000066_hu_000	Matematikusok, biztosításmatematikusok (aktuáriusok) és statisztikusok
C000067_hu_000	Élettani tudományok foglalkozásai
C000068_hu_000	Biológusok, botanikusok, zoológusok és hasonló foglalkozásúak
C000069_hu_000	Mezőgazdasági, erdészeti és halászati tanácsadók
C000070_hu_000	Környezetvédelmi foglalkozásúak
C000071_hu_000	Mérnökök (kivéve a villamosmérnököket)
C000072_hu_000	Ipari és termelési mérnökök
C000073_hu_000	Építőmérnökök
C000074_hu_000	Környezetvédelmi mérnökök
C000075_hu_000	Gépészmérnökök
C000076_hu_000	Vegyészmérnökök
C000077_hu_000	Bánya- és kohómérnökök és hasonló foglalkozásúak
C000078_hu_000	Máshová nem sorolható mérnökök
C000079_hu_000	Villamosmérnökök
C000080_hu_000	Erősáramú villamosmérnökök
C000081_hu_000	Gyengeáramú villamosmérnökök
C000082_hu_000	Telekommunikációs mérnökök
C000083_hu_000	Építészek, várostervezők, földmérők, terméktervezők
C000084_hu_000	Építészek
C000085_hu_000	Tájépítészek
C000086_hu_000	Termék- és divattervezők
C000087_hu_000	Várostervezők és közlekedési mérnökök
C000088_hu_000	Térképészek és földmérők
C000089_hu_000	Tervezőgrafikusok és multimédiatervezők
C000090_hu_000	Egészségügyi foglalkozások
C000091_hu_000	Orvosok
C000092_hu_000	Általános orvosok
C000093_hu_000	Szakorvosok
C000094_hu_000	Diplomás ápolók és szülésznők
C000095_hu_000	Diplomás ápolók
C000096_hu_000	Szülésznők
C000097_hu_000	Hagyományos és alternatív gyógyítók
C000098_hu_000	Hagyományos és alternatív gyógyítók
C000099_hu_000	Paramedicinális foglalkozások
C000100_hu_000	Paramedicinális foglalkozásúak
C000101_hu_000	Állatorvosok
C000102_hu_000	Állatorvosok
