C000001_no_000	Militære yrker og uoppgitt
C000002_no_000	Offiserer fra fenrik og høyere grad
C000003_no_000	Offiserer fra fenrik og høyere grad
C000004_no_000	Offiserer fra fenrik og høyere grad
C000005_no_000	Befal med sersjant grad
C000006_no_000	Befal med sersjant grad
C000007_no_000	Befal med sersjant grad
C000008_no_000	Menige
C000009_no_000	Menige
C000010_no_000	Menige
C000011_no_000	Ledere
C000012_no_000	Politikere og toppledere
C000013_no_000	Politikere og toppledere i offentlig administrasjon
C000014_no_000	Politikere
C000015_no_000	Toppledere i offentlig administrasjon
C000016_no_000	Traditional chiefs and heads of village
C000017_no_000	Toppledere i interesseorganisasjoner
C000018_no_000	Administrerende direktører
C000019_no_000	Administrerende direktører
C000020_no_000	Administrative og merkantile ledere
C000021_no_000	Ledere av administrative enheter
C000022_no_000	Finans- og økonomisjefer
C000023_no_000	Personalsjefer
C000024_no_000	Strategi- og planleggingssjefer
C000025_no_000	Andre administrative ledere
C000026_no_000	Ledere av salgs-
C000027_no_000	Salgs- og markedssjefer
C000028_no_000	PR- og informasjonssjefer
C000029_no_000	Forsknings- og utviklingsledere
C000030_no_000	Ledere av enheter for vareproduksjon og tjenesteyting
C000031_no_000	Ledere i gartnerier
C000032_no_000	Ledere i skogbruk
C000033_no_000	Ledere innen akvakultur mv.
C000034_no_000	Ledere av produksjon
C000035_no_000	Ledere av industriproduksjon mv.
C000036_no_000	Ledere av olje- og gassutvinning mv.
C000037_no_000	Ledere av bygge- og anleggsvirksomhet
C000038_no_000	Ledere av logistikk og transport mv.
C000039_no_000	Ledere av IKT-enheter
C000040_no_000	Ledere av IKT-enheter
C000041_no_000	Ledere av utdanning
C000042_no_000	Ledere av omsorgstjenester for barn
C000043_no_000	Ledere av helsetjenester
C000044_no_000	Ledere av eldreomsorg
C000045_no_000	Ledere av sosialomsorg
C000046_no_000	Ledere av utdanning og undervisning
C000047_no_000	Ledere av forsikring og finansvirksomhet
C000048_no_000	Andre ledere av produksjon og tjenesteyting
C000049_no_000	Ledere i hotell
C000050_no_000	Ledere i hotell og restaurant
C000051_no_000	Hotellsjefer
