C000001_el_000	Ένοπλες δυνάμεις
C000002_el_000	Αξιωματικοί των ενόπλων δυνάμεων
C000003_el_000	Αξιωματικοί των ενόπλων δυνάμεων
C000004_el_000	Αξιωματικοί των ενόπλων δυνάμεων
C000005_el_000	Υπαξιωματικοί των ενόπλων δυνάμεων
C000006_el_000	Υπαξιωματικοί των ενόπλων δυνάμεων
C000007_el_000	Υπαξιωματικοί των ενόπλων δυνάμεων
C000008_el_000	Άλλα μέλη των ενόπλων δυνάμεων
C000009_el_000	Άλλα μέλη των ενόπλων δυνάμεων
C000010_el_000	Άλλα μέλη των ενόπλων δυνάμεων
C000011_el_000	Ανώτερα διευθυντικά και διοικητικά στελέχη
C000012_el_000	Γενικοί διευθυντές, ανώτερα διοικητικά στελέχη και μέλη των νομοθετικών σωμάτων
C000013_el_000	Μέλη των νομοθετικών σωμάτων και ανώτερα διοικητικά στελέχη
C000014_el_000	Μέλη των νομοθετικών σωμάτων
C000015_el_000	Ανώτερα διοικητικά στελέχη της δημόσιας διοίκησης
C000016_el_000	Παραδοσιακοί αρχηγοί και αρχηγοί χωριών (πρωτογέροντες)
C000017_el_000	Ανώτερα διοικητικά στελέχη οργανισμών ειδικών συμφερόντων
C000018_el_000	Διευθύνοντες σύμβουλοι και γενικοί διευθυντές
C000019_el_000	Διευθύνοντες σύμβουλοι και γενικοί διευθυντές
C000020_el_000	Διοικητικοί και εμπορικοί διευθυντές
C000021_el_000	Διευθυντές επιχειρηματικών υπηρεσιών και διοίκησης
C000022_el_000	Οικονομικοί διευθυντές
C000023_el_000	Διευθυντές ανθρώπινου δυναμικού
C000024_el_000	Διευθυντές χάραξης πολιτικής και σχεδιασμού
C000025_el_000	Διευθυντές και ανώτερα διευθυντικά στελέχη επιχειρηματικών υπηρεσιών και διοίκησης π.δ.κ.α.
C000026_el_000	Διευθυντές πωλήσεων, μάρκετινγκ και ανάπτυξης
C000027_el_000	Διευθυντές πωλήσεων και μάρκετινγκ
C000028_el_000	Διευθυντές διαφήμισης και δημοσίων σχέσεων
C000029_el_000	Διευθυντές έρευνας και ανάπτυξης
C000030_el_000	Διευθυντές παραγωγής και εξειδικευμένων υπηρεσιών
C000031_el_000	Διευθυντές παραγωγής στη γεωργία, στη δασοκομία και στην αλιεία
C000032_el_000	Διευθυντές παραγωγής στη γεωργία και στη δασοκομία
C000033_el_000	Διευθυντές παραγωγής στην υδατοκαλλιέργεια και στην αλιεία
C000034_el_000	Διευθυντές επιχειρήσεων μεταποίησης, εξόρυξης, κατασκευών και διανομής
C000035_el_000	Διευθυντές επιχειρήσεων μεταποίησης
C000036_el_000	Διευθυντές επιχειρήσεων εξόρυξης
C000037_el_000	Διευθυντές επιχειρήσεων κατασκευών
C000038_el_000	Διευθυντές τροφοδοσίας, διανομής και σχετικών δραστηριοτήτων
C000039_el_000	Διευθυντές υπηρεσιών των τεχνολογιών πληροφόρησης και επικοινωνίας
C000040_el_000	Διευθυντές υπηρεσιών των τεχνολογιών πληροφόρησης και επικοινωνίας
C000041_el_000	Διευθυντές επιχειρήσεων παροχής επαγγελματικών υπηρεσιών
C000042_el_000	Διευθυντές υπηρεσιών παιδικής μέριμνας
C000043_el_000	Διευθυντές υπηρεσιών υγείας
C000044_el_000	Διευθυντές υπηρεσιών φροντίδας ηλικιωμένων
C000045_el_000	Διευθυντές υπηρεσιών κοινωνικής πρόνοιας
C000046_el_000	Διευθυντές εκπαίδευσης
C000047_el_000	Διευθυντές υπηρεσιών του χρηματοοικονομικού και ασφαλιστικού κλάδου
C000048_el_000	Διευθυντές επιχειρήσεων παροχής επαγγελματικών υπηρεσιών π.δ.κ.α.
C000049_el_000	Διευθυντές ξενοδοχείων, εστιατορίων, επιχειρήσεων λιανικού και χονδρικού εμπορίου και άλλων υπηρεσιών
C000050_el_000	Διευθυντές ξενοδοχείων και εστιατορίων
C000051_el_000	Διευθυντές ξενοδοχείων
C000052_el_000	Διευθυντές εστιατορίων
C000053_el_000	Διευθυντές επιχειρήσεων λιανικού και χονδρικού εμπορίου
C000054_el_000	Διευθυντές επιχειρήσεων λιανικού και χονδρικού εμπορίου
C000055_el_000	Διευθυντές άλλων υπηρεσιών
C000056_el_000	Διευθυντές αθλητικών κέντρων, κέντρων αναψυχής και πολιτιστικών κέντρων
C000057_el_000	Διευθυντές υπηρεσιών π.δ.κ.α.
C000058_el_000	Επαγγελματίες
C000059_el_000	Ασκούντες επιστημονικά επαγγέλματα και μηχανικοί
C000060_el_000	Επαγγελματίες των φυσικών επιστημών, γεωλόγοι και γεωφυσικοί
C000061_el_000	Φυσικοί και αστρονόμοι
C000062_el_000	Μετεωρολόγοι
C000063_el_000	Χημικοί
C000064_el_000	Γεωλόγοι και γεωφυσικοί
C000065_el_000	Μαθηματικοί, αναλογιστές και στατιστικοί
C000066_el_000	Μαθηματικοί, αναλογιστές και στατιστικοί
C000067_el_000	Επαγγελματίες των επιστημών της ζωής
C000068_el_000	Βιολόγοι, βοτανολόγοι, ζωολόγοι και ασκούντες συναφή επαγγέλματα
C000069_el_000	Σύμβουλοι γεωργίας, δασοκομίας και αλιείας
C000070_el_000	Επαγγελματίες προστασίας του περιβάλλοντος
C000071_el_000	Μηχανικοί (εξαιρουμένων των ηλεκτρολόγων τεχνολόγων)
C000072_el_000	Μηχανικοί βιομηχανίας και παραγωγής
C000073_el_000	Πολιτικοί μηχανικοί
C000074_el_000	Μηχανικοί περιβάλλοντος
C000075_el_000	Μηχανολόγοι μηχανικοί
C000076_el_000	Χημικοί μηχανικοί
C000077_el_000	Μηχανικοί ορυχείων, μεταλλειολόγοι και ασκούντες συναφή επαγγέλματα
C000078_el_000	Μηχανικοί π.δ.κ.α.
C000079_el_000	Ηλεκτρολόγοι τεχνολόγοι μηχανικοί
C000080_el_000	Ηλεκτρολόγοι μηχανικοί
C000081_el_000	Ηλεκτρονικοί μηχανικοί
C000082_el_000	Μηχανικοί τηλεπικοινωνιών
C000083_el_000	Αρχιτέκτονες, τοπογράφοι, πολεοδόμοι και σχεδιαστές
C000084_el_000	Αρχιτέκτονες κτιρίων
C000085_el_000	Αρχιτέκτονες τοπίου
C000086_el_000	Σχεδιαστές προϊόντων και ενδυμάτων
C000087_el_000	Πολεοδόμοι και συγκοινωνιολόγοι
C000088_el_000	Χαρτογράφοι, τοπογράφοι-γεωμέτρες και γεωδαίτες
C000089_el_000	Γραφίστες και σχεδιαστές πολυμέσων
C000090_el_000	Επαγγελματίες του τομέα της υγείας
C000091_el_000	Ιατροί
C000092_el_000	Ιατροί γενικής ιατρικής
C000093_el_000	Ειδικευμένοι ιατροί
C000094_el_000	Νοσηλευτές και μαίες
C000095_el_000	Νοσηλευτές
C000096_el_000	Μαίες
C000097_el_000	Επαγγελματίες παραδοσιακής και συμπληρωματικής ιατρικής
C000098_el_000	Επαγγελματίες παραδοσιακής και συμπληρωματικής ιατρικής
C000099_el_000	Ασκούντες παραϊατρικά επαγγέλματα
C000100_el_000	Ασκούντες παραϊατρικά επαγγέλματα
C000101_el_000	Κτηνίατροι
C000102_el_000	Κτηνίατροι
C000103_el_000	Άλλοι επαγγελματίες του τομέα της υγείας
C000104_el_000	Οδοντίατροι
C000105_el_000	Φαρμακοποιοί
C000106_el_000	Επαγγελματίες περιβαλλοντικής και επαγγελματικής υγείας και υγιεινής
C000107_el_000	Φυσιοθεραπευτές
C000108_el_000	Διαιτολόγοι και διατροφολόγοι
C000109_el_000	Ακουολόγοι και λογοθεραπευτές
C000110_el_000	Οπτομέτρες και οπτικοί που εξετάζουν την όραση (οφθαλμολόγοι οπτικοί)
C000111_el_000	Επαγγελματίες του τομέα της υγείας π.δ.κ.α.
C000112_el_000	Εκπαιδευτικοί
C000113_el_000	Διδακτικό προσωπικό ανώτατων εκπαιδευτικών ιδρυμάτων
C000114_el_000	Διδακτικό προσωπικό ανώτατων εκπαιδευτικών ιδρυμάτων
C000115_el_000	Καθηγητές επαγγελματικής εκπαίδευσης
C000116_el_000	Καθηγητές επαγγελματικής εκπαίδευσης
C000117_el_000	Καθηγητές δευτεροβάθμιας εκπαίδευσης
C000118_el_000	Καθηγητές δευτεροβάθμιας εκπαίδευσης
C000119_el_000	Δάσκαλοι πρωτοβάθμιας εκπαίδευσης και νηπιαγωγοί
C000120_el_000	Δάσκαλοι πρωτοβάθμιας εκπαίδευσης
C000121_el_000	Νηπιαγωγοί
C000122_el_000	Άλλοι εκπαιδευτικοί
C000123_el_000	Ειδικοί επιστήμονες επί των διδακτικών μεθόδων
C000124_el_000	Εκπαιδευτικοί ειδικής αγωγής
