C000001_fr_000	Professions militaires
C000002_fr_000	Officiers des forces armées
C000003_fr_000	Officiers des forces armées
C000004_fr_000	Officiers des forces armées
C000005_fr_000	Sous-officiers des forces armées
C000006_fr_000	Sous-officiers des forces armées
C000007_fr_000	Sous-officiers des forces armées
C000008_fr_000	Autres membres des forces armées
C000009_fr_000	Autres membres des forces armées
C000010_fr_000	Autres membres des forces armées
C000011_fr_000	Directeurs, cadres de direction et gérants
C000012_fr_000	Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs
C000013_fr_000	Membres des corps législatifs et cadres supérieurs de l’administration publique
C000014_fr_000	Membres des corps législatifs
C000015_fr_000	Cadres supérieurs de l’administration publique
C000016_fr_000	Chefs traditionnels et chefs de village
C000017_fr_000	Dirigeants et cadres supérieurs d’organisations spécialisées
C000018_fr_000	Directeurs généraux d’entreprise
C000019_fr_000	Directeurs généraux d’entreprise
C000020_fr_000	Directeurs de services administratifs et commerciaux
C000021_fr_000	Directeurs de services administratifs
C000022_fr_000	Directeurs et cadres de direction, services financiers
C000023_fr_000	Directeurs et cadres de direction, ressources humaines
C000024_fr_000	Directeurs et cadres de direction, stratégie et planifications
C000025_fr_000	Directeurs des services administratifs non classés ailleurs
C000026_fr_000	Directeurs et cadres de direction, ventes, commercialisation et développement
C000027_fr_000	Directeurs et cadres de direction, ventes et commercialisation
C000028_fr_000	Directeurs et cadres de direction, publicité et relations publiques
C000029_fr_000	Directeurs et cadres de direction, recherche-développement
C000030_fr_000	Directeurs et cadres de direction, production et services spécialisés
C000031_fr_000	Directeurs et cadres de direction, agriculture, sylviculture et pêche
C000032_fr_000	Directeurs et cadres de direction, agriculture et sylviculture
C000033_fr_000	Directeurs et cadres de direction, aquaculture et pêche
C000034_fr_000	Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution
C000035_fr_000	Directeurs et cadres de direction, industrie manufacturière
C000036_fr_000	Directeurs et cadres de direction, mines
C000037_fr_000	Directeurs et cadres de direction, bâtiment
C000038_fr_000	Directeurs et cadres de direction, approvisionnement, distribution et assimilés
C000039_fr_000	Directeurs et cadres de direction, technologies de l’information et des communications
C000040_fr_000	Directeurs et cadres de direction, technologies de l’information et des communications
C000041_fr_000	Cadres de direction, services spécialisés
C000042_fr_000	Cadres de direction, garde d’enfants
C000043_fr_000	Cadres de direction, services de santé
C000044_fr_000	Cadres de direction, services aux personnes âgées
C000045_fr_000	Cadres de direction, services sociaux
C000046_fr_000	Cadres de direction, éducation
C000047_fr_000	Directeurs et cadres de direction, succursales de banque, services financiers et assurances
C000048_fr_000	Autres cadres de direction, services spécialisés non classés ailleurs
C000049_fr_000	Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services
C000050_fr_000	Directeurs et gérants, hôtellerie et restauration
C000051_fr_000	Directeurs et gérants, hôtellerie
C000052_fr_000	Directeurs et gérants, restauration
C000053_fr_000	Directeurs et gérants, commerce de détail et de gros
C000054_fr_000	Directeurs et gérants, commerce de détail et de gros
C000055_fr_000	Autres directeurs et gérants
C000056_fr_000	Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels
C000057_fr_000	Directeurs et gérants, services non classés ailleurs
C000058_fr_000	Professions intellectuelles et scientifiques
C000059_fr_000	Spécialistes des sciences techniques
C000060_fr_000	Physiciens, chimistes et assimilés
C000061_fr_000	Physiciens et astronomes
C000062_fr_000	Météorologues
C000063_fr_000	Chimistes
C000064_fr_000	Géologues et géophysiciens
C000065_fr_000	Mathématiciens, actuaires et statisticiens
C000066_fr_000	Mathématiciens, actuaires et statisticiens
C000067_fr_000	Spécialistes des sciences de la vie
C000068_fr_000	Biologistes, botanistes, zoologistes et assimilés
C000069_fr_000	Agronomes et assimilés
C000070_fr_000	Spécialistes de la protection de l’environnement
C000071_fr_000	Spécialistes, sciences techniques (sauf électrotechniques)
C000072_fr_000	Spécialistes, sciences techniques de la production et de l’industrie
C000073_fr_000	Ingénieurs civils
C000074_fr_000	Ingénieurs écologistes
C000075_fr_000	Ingénieurs mécaniciens
C000076_fr_000	Ingénieurs chimistes
C000077_fr_000	Ingénieurs des mines, ingénieurs métallurgistes et assimilés
C000078_fr_000	Spécialistes, sciences techniques non classés ailleurs
C000079_fr_000	Ingénieurs de l’électrotechnique
C000080_fr_000	Ingénieurs électriciens
C000081_fr_000	Ingénieurs électroniciens
C000082_fr_000	Spécialistes des télécommunications
C000083_fr_000	Architectes, urbanistes, géomètres et concepteurs
C000084_fr_000	Architectes, bâtiment
C000085_fr_000	Architectes paysagistes
C000086_fr_000	Concepteurs modélistes de produits et de vêtements
C000087_fr_000	Urbanistes et ingénieurs de la circulation routière
C000088_fr_000	Cartographes et géomètres
C000089_fr_000	Concepteurs graphiques, multimédia – graphistes
C000090_fr_000	Spécialistes de la santé
C000091_fr_000	Médecins
C000092_fr_000	Médecins généralistes
C000093_fr_000	Médecins spécialistes
C000094_fr_000	Cadres infirmiers et sages-femmes
C000095_fr_000	Cadres infirmiers
C000096_fr_000	Sages-femmes
C000097_fr_000	Spécialistes des médecines traditionnelles et des médecines complémentaires
C000098_fr_000	Spécialistes des médecines traditionnelles et des médecines complémentaires
C000099_fr_000	Praticiens paramédicaux
C000100_fr_000	Praticiens paramédicaux
C000101_fr_000	Vétérinaires
C000102_fr_000	Vétérinaires
C000103_fr_000	Autres spécialistes des professions de la santé
C000104_fr_000	Dentistes
C000105_fr_000	Pharmaciens
C000106_fr_000	Spécialistes de la salubrité de l’environnement, de l’hygiène et de la santé au travail
C000107_fr_000	Physiothérapeutes
C000108_fr_000	Diététiciens et spécialistes de la nutrition
