Q000001	Кметски наместник, община
Q000002	Заместник-кмет, община
Q000003	Заместник-кмет, район
Q000004	Говорител на Министър-председателя
Q000005	Заместник-министър
Q000006	Началник на политически кабинет, министър
Q000007	Главен прокурор
Q000008	Заместник-главен прокурор
Q000009	Директор, Национална следствена служба
Q000010	Заместник-директор, Национална следствена служба
Q000011	Председател, Върховен касационен съд
Q000012	Председател, Върховен административен съд
Q000013	Председател, Апелативен съд
Q000014	Председател, окръжен съд
Q000015	Председател, районен съд
Q000016	Председател на отделение, Върховен касационен съд
Q000017	Председател отделение, Върховен административен съд
Q000018	Председател, градски съд
Q000019	Заместник-председател, Върховен касационен съд
Q000020	Заместник-председател, Върховен административен съд
Q000021	Заместник-председател, апелативен съд
Q000022	Заместник-председател, градски съд
Q000023	Заместник-председател, окръжен съд
Q000024	Заместник-председател, районен съд
Q000025	Началник на кабинета на заместник министър-председател
Q000026	Началник на кабинета на министър-председателя
Q000027	Апелативен прокурор/ Военно-апелативен прокурор
Q000028	Окръжен прокурор/ Военно-окръжен прокурор
Q000029	Градски прокурор
Q000030	Районен прокурор
Q000031	Завеждащ окръжен следствен отдел в окръжна прокуратура
Q000032	Заместник-окръжен прокурор/ Заместник военно-окръжен прокурор/ Заместник-градски прокурор
Q000033	Президент на Република България
Q000034	Вицепрезидент на Република България
Q000035	Председател на Народно събрание
Q000036	Заместник-председател на Народно събрание
Q000037	Председател на комисия, Народно събрание
Q000038	Заместник-председател на комисия, Народно събрание
Q000039	Народен представител
Q000040	Омбудсман
Q000041	Заместник-омбудсман
Q000042	Министър-председател
Q000043	Заместник-министър-председател
Q000044	Министър
Q000045	Кмет, община
Q000046	Кмет, кметство
Q000047	Председател, общински съвет
Q000048	Заместник-председател, общински съвет
Q000049	Общински съветник
Q000050	Кмет, район
Q000051	Председател на Конституционен съд
Q000052	Главен комисар, пожарна безопасност и спасяване
Q000053	Главен, старши и правителствен процесуален агент
Q000054	Говорител на МВнР
Q000055	Стажант-аташе
Q000056	Подуправител, Национална здравно-осигурителна каса
Q000057	Заместник-председател, Селскостопанска академия
Q000058	Председател, Селскостопанска академия
Q000059	Началник, митническо бюро
Q000060	Генерален комисар, МВР
Q000061	Директор на дирекция, полиция
Q000062	Секретар, район
Q000063	Началник, общинска служба по земеделие
Q000064	Заместник-началник, общинска служба по земеделие
Q000065	Секретар на кметство
Q000066	Главен ревизор по безопасността на транспорта
Q000067	Заместник ? главен ревизор по безопасността на транспорта
Q000068	Директор дирекция, администрация на Народно събрание
Q000069	Секретар, Народно събрание
Q000070	Държавен съветник, Народно събрание/Президентство
Q000071	Началник протокол, Народно събрание/Президентство
Q000072	Ръководител пресслужба, Народно събрание/Президентство
Q000073	Главен държавен здравен инспектор
Q000074	Областен управител
Q000075	Заместник-областен управител
Q000076	Председател, Национален статистически институт
Q000077	Заместник-председател, Национален статистически институт
Q000078	Заместник-председател, държавна комисия
Q000079	Изпълнителен директор, агенция
Q000080	Заместник-изпълнителен директор, агенция
Q000081	Главен секретар, администрация
Q000082	Главен секретар, Сметна палата
Q000083	Директор териториална дирекция, агенция
Q000084	Държавен съкровищник, Министерство на финансите
Q000085	Заместник-главен инспектор, Министерство на отбраната
Q000086	Директор, регионална митническа дирекция
Q000087	Заместник-директор, регионална митническа дирекция
Q000088	Заместник-началник, митница
Q000089	Директор, териториално статистическо бюро
Q000090	Началник, регионално управление на образованието
Q000091	Временно управляващ посолство
Q000092	Генерален консул
Q000093	Консул
Q000094	Главен директор, главна дирекция в администрация
Q000095	Ръководител звено правителствени агенти
Q000096	Главен финансов директор, Българска народна банка
Q000097	Началник кабинет
Q000098	Началник кабинет, председател на Сметна палата
Q000099	Директор, териториално поделение, НОИ
Q000100	Парламентарен секретар
Q000101	Заместник-директор териториална дирекция
Q000102	Заместник главен директор, главна дирекция в администрация
Q000103	Директор териториално поделение
Q000104	Постоянен секретар
Q000105	Политически директор
Q000106	Ръководител на задгранично представителство по чл. 23, ал. 1 от ЗДС
Q000107	Ръководител на задгранично представителство по чл. 23, ал. 1 и 2 от ЗДС
Q000108	Пълномощен министър
Q000109	Посланик за специални поръчения
Q000110	Висш дипломатически служител
Q000111	Специален координатор
Q000112	Старши дипломатически служител - I степен
Q000113	Старши дипломатически служител - II степен
Q000114	Съветник в задгранично представителство
Q000115	Първи секретар в задгранично представителство
Q000116	Втори секретар в задгранично представителство
Q000117	Трети секретар в задгранично представителство
Q000118	Дипломатически служител - I степен
Q000119	Дипломатически служител - II степен
Q000120	Дипломатически служител - III степен
Q000121	Дипломатически служител - IV степен
Q000122	Генерален директор, администрация
Q000123	Председател, постоянна комисия по области на висшето образование, НАОА
Q000124	Председател, постоянна комисия за следакредитационно наблюдение и контрол, НАОА
Q000125	Член на Акредитационен съвет, НАОА
Q000126	Секретар на съвет по чл. 21 от Закона за администрацията
Q000127	Секретар, ЦКБППМН
Q000128	Началник, митнически пункт
Q000129	Секретар, община
Q000130	Секретар на Столична община
Q000131	Главен директор, главна дирекция в Столична община
Q000132	Председател, държавна агенция
Q000133	Заместник-председател, държавна агенция
Q000134	Директор, Районна здравноосигурителна каса
Q000135	Заместник-директор, Районна здравноосигурителна каса
Q000136	Ръководител на Главния инспекторат
Q000137	Секретар на Националната комисия за борба с трафика на хора
Q000138	Началник на регионална дирекция за национален строителен контрол
Q000139	Директор на Националния инспекторат по образованието
Q000140	Управител, Национален осигурителен институт
Q000141	Подуправител, Национален осигурителен институт
Q000142	Подуправител, Българска народна банка
Q000143	Председател, Сметна палата
Q000144	Управител, Национална здравно-осигурителна каса
Q000145	Председател, държавна комисия
Q000146	Председател на Икономически и социален съвет
Q000147	Председател, Надзорен съвет на агенция
Q000148	Председател, комисия
Q000149	Заместник-председател, Сметна палата
Q000150	Игумен на ставропигиален манастир
Q000151	Изпълнителен секретар, организация на работниците и служителите
Q000152	Началник кабинет, организация на работниците и служителите
Q000153	Парламентарен секретар, организация на работниците и служителите
Q000154	Ръководител на Пресцентър, организация на работниците и служителите
Q000155	Федерален секретар, браншова организация на работниците и служителите
Q000156	Национален секретар, организация на работниците и служителите
Q000157	Ръководител, местна организация/политическа партия
Q000158	Ръководител, контролен орган на партия
Q000159	Съветник, политическа партия
Q000160	Главен експерт, политическа партия
Q000161	Експерт, политическа партия
Q000162	Главен секретар, организация
Q000163	Главен секретар на СВ. Синод
Q000164	Изпълнителен директор, организации с нестопанска цел/съсловни организации
Q000165	Директор, организации с нестопанска цел/съсловни организации
Q000166	Председател, обществена организация
Q000167	Заместник-председател, обществена организация
Q000168	Президент, политическа партия
Q000169	Председател, политическа партия
Q000170	Председател, организация на работодатели
Q000171	Ръководител, контролен орган на организация на работодателите
Q000172	Председател, организация на работниците и служителите
Q000173	Президент, организация на работниците и служителите
Q000174	Ръководител, контролен орган на организация на работниците и служителите
Q000175	Заместник-председател, организация на работодатели
Q000176	Вицепрезидент, организация на работодатели
Q000177	Председател, браншови и регионални организации
Q000178	Заместник-председател, организация на работниците и служителите
Q000179	Вицепрезидент, организация на работниците и служителите
Q000180	Изпълнителен директор, оранизация на работниците и служителите
Q000181	Главен директор, организация на работниците и служителите
Q000182	Директор, организация на работниците и служителите
Q000183	Председател, организации с нестопанска цел/съсловни организации
Q000184	Заместник-председател, организации с нестопанска цел/съсловни организации
Q000185	Генерален секретар, организации с нестопанска цел/съсловни организации
Q000186	Секретар, организации с нестопанска цел/съсловни организации
Q000187	Ръководител, контролен орган на организации с нестопанска цел/съсловни организации
Q000188	Висш служител на друго регистрирано вероизповедание
Q000189	Патриарх на Българската православна църква
Q000190	Митрополит
Q000191	Главен мюфтия
Q000192	Епископ на Католическата църква в България
Q000193	Председател на Български олимпийски комитет
Q000194	Директор, организация
Q000195	Директор, вестник
Q000196	Директор, радио
Q000197	Директор, телевизия
Q000198	Заместник-директор, организация
Q000199	Ректор на Духовната семинария
Q000200	Заместник-председател, управителен съвет/съвет на директорите, търговско дружество
Q000201	Председател, управителен съвет (съвет на директорите) на търговско дружество
Q000202	Председател, Надзорен съвет в търговско дружество
Q000203	Член, съвет на директорите
Q000204	Член, управителен съвет
Q000205	Прокурист (търговски управител)
Q000206	Управител
Q000207	Член, Надзорен съвет в търговско дружество
Q000208	Главно надзорно лице
Q000209	Заместник-управител
Q000210	Регионален мениджър
Q000211	Управител, клон на търговско дружество
Q000212	Член на Висшия съдебен съвет
Q000213	Заместник-председател управителен съвет, Централен кооперативен съюз
Q000214	Заместник-председател, кооперативен съюз
Q000215	Заместник-председател, кооперация
Q000216	Председател, контролен съвет на Централен кооперативен съюз
Q000217	Председател, кооперативен съюз
Q000218	Председател, кооперация
Q000219	Председател на управителен съвет на Централен кооперативен съюз
Q000220	Ректор, висше училище
Q000221	Заместник-ректор, висше училище
Q000222	Генерален директор на Българска телеграфна агенция
Q000223	Управител, финансови дейности
Q000224	Управител, счетоводни услуги
Q000225	Ръководител, финансов отдел
Q000226	Ръководител, финансов сектор
Q000227	Ръководител, счетоводен отдел
Q000228	Директор за връзки с инвеститорите
Q000229	Корпоративен секретар
Q000230	Финансов директор
Q000231	Финансов мениджър
Q000232	Управител, човешки ресурси
Q000233	Ръководител, отдел човешки ресурси
Q000234	Ръководител, сектор човешки ресурси
Q000235	Ръководител, организация и ефективност на труда
Q000236	Ръководител, набиране на персонал
Q000237	Ръководител, здравословни и безопасни условия на труд
Q000238	Ръководител проект
Q000239	Ръководител, технически надзор
Q000240	Директор дирекция, администрация на МС
Q000241	Началник отдел, администрация на МС
Q000242	Началник сектор, администрация на МС
Q000243	Директор дирекция, община
Q000244	Началник отдел, администрация
Q000245	Началник отдел, община/район
Q000246	Началник отдел, кметство
Q000247	Началник сектор, администрация Народното събрание
Q000248	Началник сектор, администрация на Президента
Q000249	Началник сектор, администрация
Q000250	Началник сектор, Сметна палата
Q000251	Началник сектор, община/район
Q000252	Началник сектор, Столична община
Q000253	Главен инженер, предприятие
Q000254	Ръководител на звено в митнически пункт
Q000255	Регионален инспектор
Q000256	Секретар на местна комисия за борба срещу противообществените прояви на малолетните и непълнолетните
Q000257	Главен юрист, Българска народна банка
Q000258	Главен касиер, Българска народна банка
Q000259	Главен счетоводител, Българска народна банка
